0,0
100,46
200,86
300,129
400,179
500,230
600,283
700,336
800,385
900,427
1000,481
1100,525
1200,573
1300,621
1400,668
1500,707
1600,751
1700,805
1800,844
1900,893
2000,940
2100,988
2200,1030
2300,1073
2400,1122
2500,1170
2600,1220
2700,1265
2800,1315
2900,1364
3000,1412
3100,1448
3200,1482
3300,1528
3400,1569
3500,1617
3600,1659
3700,1701
3800,1745
3900,1791
4000,1833
4100,1879
4200,1920
4300,1950
4400,1991
4500,2050
4600,2091
4700,2133
4800,2186
4900,2234
5000,2277
5100,2315
5200,2369
5300,2408
5400,2457
5500,2491
5600,2534
5700,2572
5800,2613
5900,2657
6000,2682
6100,2722
6200,2759
6300,2795
6400,2833
6500,2872
6600,2911
6700,2954
6800,2992
6900,3030
7000,3070
7100,3114
7200,3151
7300,3194
7400,3235
7500,3273
7600,3309
7700,3339
7800,3377
7900,3422
8000,3464
8100,3504
8200,3541
8300,3571
8400,3603
8500,3632
8600,3673
8700,3703
8800,3737
8900,3778
9000,3810
9100,3852
9200,3893
9300,3931
9400,3973
9500,4009
9600,4040
9700,4076
9800,4113
9900,4143
10000,4178
10100,4210
10200,4242
10300,4270
10400,4304
10500,4337
10600,4366
10700,4405
10800,4442
10900,4476
11000,4512
11100,4543
11200,4573
11300,4611
11400,4652
11500,4687
11600,4717
11700,4745
11800,4783
11900,4808
12000,4835
12100,4867
12200,4893
12300,4927
12400,4952
12500,4986
12600,5004
12700,5031
12800,5069
12900,5102
13000,5136
13100,5172
13200,5204
13300,5229
13400,5260
13500,5288
13600,5317
13700,5344
13800,5377
13900,5411
14000,5436
14100,5462
14200,5492
14300,5528
14400,5550
14500,5585
14600,5611
14700,5637
14800,5662
14900,5686
15000,5716
15100,5741
15200,5768
15300,5800
15400,5824
15500,5845
15600,5872
15700,5906
15800,5932
15900,5961
16000,5989
16100,6018
16200,6047
16300,6074
16400,6113
16500,6133
16600,6150
16700,6169
16800,6194
16900,6215
17000,6248
17100,6280
17200,6312
17300,6330
17400,6353
17500,6384
17600,6413
17700,6443
17800,6472
17900,6495
18000,6521
18100,6544
18200,6567
18300,6610
18400,6639
18500,6668
18600,6690
18700,6715
18800,6739
18900,6760
19000,6783
19100,6809
19200,6842
19300,6852
19400,6870
19500,6896
19600,6921
19700,6940
19800,6958
19900,6979
20000,6996
20100,7015
20200,7030
20300,7053
20400,7078
20500,7098
20600,7125
20700,7146
20800,7168
20900,7190
21000,7218
21100,7236
21200,7257
21300,7275
21400,7294
21500,7318
21600,7345
21700,7365
21800,7384
21900,7402
22000,7427
22100,7448
22200,7471
22300,7495
22400,7514
22500,7532
22600,7555
22700,7576
22800,7592
22900,7611
23000,7642
23100,7658
23200,7675
23300,7691
23400,7715
23500,7740
23600,7766
23700,7795
23800,7817
23900,7841
24000,7864
24100,7888
24200,7906
24300,7924
24400,7940
24500,7961
24600,7983
24700,8000
24800,8025
24900,8044
25000,8065
25100,8082
25200,8096
25300,8120
25400,8142
25500,8156
25600,8178
25700,8195
25800,8214
25900,8230
26000,8244
26100,8261
26200,8272
26300,8284
26400,8304
26500,8322
26600,8336
26700,8356
26800,8372
26900,8384
27000,8403
27100,8422
27200,8442
27300,8463
27400,8484
27500,8502
27600,8520
27700,8533
27800,8543
27900,8556
28000,8577
28100,8592
28200,8617
28300,8627
28400,8649
28500,8662
28600,8681
28700,8695
28800,8717
28900,8732
29000,8743
29100,8760
29200,8784
29300,8801
29400,8819
29500,8840
29600,8853
29700,8876
29800,8895
29900,8915
30000,8937
30100,8950
30200,8970
30300,8986
30400,9005
30500,9023
30600,9042
30700,9055
30800,9066
30900,9083
31000,9095
31100,9110
31200,9137
31300,9154
31400,9167
31500,9178
31600,9194
31700,9211
31800,9229
31900,9238
32000,9252
32100,9265
32200,9281
32300,9294
32400,9310
32500,9326
32600,9342
32700,9358
32800,9370
32900,9384
33000,9394
33100,9413
33200,9430
33300,9443
33400,9460
33500,9469
33600,9488
33700,9498
33800,9516
33900,9533
34000,9552
34100,9570
34200,9585
34300,9604
34400,9619
34500,9635
34600,9655
34700,9664
34800,9683
34900,9694
35000,9715
35100,9733
35200,9747
35300,9760
35400,9779
35500,9793
35600,9812
35700,9828
35800,9843
35900,9859
36000,9877
36100,9893
36200,9904
36300,9912
36400,9928
36500,9939
36600,9950
36700,9959
36800,9975
36900,9986
37000,10000
37100,10015
37200,10031
37300,10043
37400,10053
37500,10066
37600,10070
37700,10075
37800,10085
37900,10099
38000,10112
38100,10129
38200,10142
38300,10158
38400,10165
38500,10178
